Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AL,Alabama,Demographics,Employment,What is your employment status?,No work< yr,Overall,Overall,173,3,2.3,3.6,1810,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,1,BO1,CAT1,EMPLOY1,RESP027,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Employment,What is your employment status?,No work >yr,Overall,Overall,231,3.2,2.6,3.7,1809,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,1,BO1,CAT1,EMPLOY1,RESP028,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Employment,What is your employment status?,Student,Overall,Overall,173,4.3,3.5,5.1,1812,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,1,BO1,CAT1,EMPLOY1,RESP030,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Employment,What is your employment status?,Retired,Overall,Overall,2731,18.4,17.5,19.3,1813,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,1,BO1,CAT1,EMPLOY1,RESP031,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Employment,What is your employment status?,Unable to work,Overall,Overall,1378,13.6,12.6,14.5,1814,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,1,BO1,CAT1,EMPLOY1,RESP032,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Employment,What is your employment status?,Employed,Overall,Overall,2840,43.6,42.1,45.1,1807,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,1,BO1,CAT1,EMPLOY1,RESP137,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Employment,What is your employment status?,Homemaker,Overall,Overall,596,7.5,6.7,8.3,1811,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,1,BO1,CAT1,EMPLOY1,RESP141,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Employment,What is your employment status?,Self-employed,Overall,Overall,473,6.5,5.7,7.3,1808,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,1,BO1,CAT1,EMPLOY1,RESP172,"(32.84057112200048, -86.63186076199969)"
2014,AK,Alaska,Demographics,Employment,What is your employment status?,Homemaker,Overall,Overall,268,6,5.1,7,1806,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,2,BO1,CAT1,EMPLOY1,RESP141,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Employment,What is your employment status?,Self-employed,Overall,Overall,424,8.8,7.7,9.9,1803,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,2,BO1,CAT1,EMPLOY1,RESP172,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Employment,What is your employment status?,No work< yr,Overall,Overall,129,4.1,3.2,4.9,1805,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,2,BO1,CAT1,EMPLOY1,RESP027,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Employment,What is your employment status?,No work >yr,Overall,Overall,101,2.7,2,3.3,1804,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,2,BO1,CAT1,EMPLOY1,RESP028,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Employment,What is your employment status?,Student,Overall,Overall,86,4.6,3.4,5.8,1807,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,2,BO1,CAT1,EMPLOY1,RESP030,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Employment,What is your employment status?,Retired,Overall,Overall,968,14.1,12.9,15.2,1808,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,2,BO1,CAT1,EMPLOY1,RESP031,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Employment,What is your employment status?,Unable to work,Overall,Overall,207,4.4,3.5,5.2,1809,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,2,BO1,CAT1,EMPLOY1,RESP032,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Employment,What is your employment status?,Employed,Overall,Overall,2136,55.5,53.4,57.6,1802,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,2,BO1,CAT1,EMPLOY1,RESP137,"(64.84507995700051, -147.72205903599973)"
2014,AZ,Arizona,Demographics,Employment,What is your employment status?,No work< yr,Overall,Overall,297,3.5,2.9,4.1,1813,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,4,BO1,CAT1,EMPLOY1,RESP027,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Demographics,Employment,What is your employment status?,No work >yr,Overall,Overall,350,3.1,2.6,3.7,1812,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,4,BO1,CAT1,EMPLOY1,RESP028,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Demographics,Employment,What is your employment status?,Student,Overall,Overall,256,5.4,4.6,6.2,1815,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,4,BO1,CAT1,EMPLOY1,RESP030,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Demographics,Employment,What is your employment status?,Retired,Overall,Overall,5870,19.9,19.1,20.7,1816,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,4,BO1,CAT1,EMPLOY1,RESP031,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Demographics,Employment,What is your employment status?,Unable to work,Overall,Overall,1076,7.5,6.8,8.2,1817,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,4,BO1,CAT1,EMPLOY1,RESP032,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Demographics,Employment,What is your employment status?,Employed,Overall,Overall,4770,44.2,42.8,45.6,1810,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,4,BO1,CAT1,EMPLOY1,RESP137,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Demographics,Employment,What is your employment status?,Homemaker,Overall,Overall,1043,8.3,7.5,9,1814,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,4,BO1,CAT1,EMPLOY1,RESP141,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Demographics,Employment,What is your employment status?,Self-employed,Overall,Overall,1005,8.1,7.4,8.9,1811,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,4,BO1,CAT1,EMPLOY1,RESP172,"(34.865970280000454, -111.76381127699972)"
2014,AR,Arkansas,Demographics,Employment,What is your employment status?,No work< yr,Overall,Overall,89,3.5,2.5,4.4,1808,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,5,BO1,CAT1,EMPLOY1,RESP027,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Demographics,Employment,What is your employment status?,No work >yr,Overall,Overall,115,3.7,2.8,4.6,1807,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,5,BO1,CAT1,EMPLOY1,RESP028,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Demographics,Employment,What is your employment status?,Student,Overall,Overall,82,4.4,3.3,5.5,1810,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,5,BO1,CAT1,EMPLOY1,RESP030,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Demographics,Employment,What is your employment status?,Retired,Overall,Overall,1958,18.4,17.3,19.5,1811,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,5,BO1,CAT1,EMPLOY1,RESP031,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Demographics,Employment,What is your employment status?,Unable to work,Overall,Overall,692,12.8,11.4,14.2,1812,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,5,BO1,CAT1,EMPLOY1,RESP032,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Demographics,Employment,What is your employment status?,Employed,Overall,Overall,1538,42.6,40.4,44.7,1805,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,5,BO1,CAT1,EMPLOY1,RESP137,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Demographics,Employment,What is your employment status?,Homemaker,Overall,Overall,358,6.5,5.5,7.6,1809,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,5,BO1,CAT1,EMPLOY1,RESP141,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Demographics,Employment,What is your employment status?,Self-employed,Overall,Overall,353,8.2,7,9.4,1806,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,5,BO1,CAT1,EMPLOY1,RESP172,"(34.74865012400045, -92.27449074299966)"
2014,CA,California,Demographics,Employment,What is your employment status?,No work< yr,Overall,Overall,253,3.5,3,4,1813,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,6,BO1,CAT1,EMPLOY1,RESP027,"(37.63864012300047, -120.99999953799971)"
2014,CA,California,Demographics,Employment,What is your employment status?,No work >yr,Overall,Overall,297,4,3.4,4.6,1812,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,6,BO1,CAT1,EMPLOY1,RESP028,"(37.63864012300047, -120.99999953799971)"
2014,CA,California,Demographics,Employment,What is your employment status?,Student,Overall,Overall,399,7.3,6.4,8.1,1815,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,6,BO1,CAT1,EMPLOY1,RESP030,"(37.63864012300047, -120.99999953799971)"
2014,CA,California,Demographics,Employment,What is your employment status?,Retired,Overall,Overall,1983,16.1,15.3,17,1816,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,6,BO1,CAT1,EMPLOY1,RESP031,"(37.63864012300047, -120.99999953799971)"
2014,CA,California,Demographics,Employment,What is your employment status?,Unable to work,Overall,Overall,533,5.7,5.1,6.3,1817,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,6,BO1,CAT1,EMPLOY1,RESP032,"(37.63864012300047, -120.99999953799971)"
2014,CA,California,Demographics,Employment,What is your employment status?,Employed,Overall,Overall,3584,45,43.7,46.4,1810,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,6,BO1,CAT1,EMPLOY1,RESP137,"(37.63864012300047, -120.99999953799971)"
2014,CA,California,Demographics,Employment,What is your employment status?,Homemaker,Overall,Overall,598,8.6,7.7,9.4,1814,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,6,BO1,CAT1,EMPLOY1,RESP141,"(37.63864012300047, -120.99999953799971)"
2014,CA,California,Demographics,Employment,What is your employment status?,Self-employed,Overall,Overall,896,9.8,9,10.6,1811,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,6,BO1,CAT1,EMPLOY1,RESP172,"(37.63864012300047, -120.99999953799971)"
2014,CO,Colorado,Demographics,Employment,What is your employment status?,No work< yr,Overall,Overall,296,3.1,2.6,3.6,1812,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,8,BO1,CAT1,EMPLOY1,RESP027,"(38.843840757000464, -106.13361092099967)"
2014,CO,Colorado,Demographics,Employment,What is your employment status?,No work >yr,Overall,Overall,275,2.4,2,2.7,1811,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,8,BO1,CAT1,EMPLOY1,RESP028,"(38.843840757000464, -106.13361092099967)"
2014,CO,Colorado,Demographics,Employment,What is your employment status?,Student,Overall,Overall,299,5.2,4.5,5.8,1814,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,8,BO1,CAT1,EMPLOY1,RESP030,"(38.843840757000464, -106.13361092099967)"
2014,CO,Colorado,Demographics,Employment,What is your employment status?,Retired,Overall,Overall,3669,15.4,14.8,15.9,1815,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,8,BO1,CAT1,EMPLOY1,RESP031,"(38.843840757000464, -106.13361092099967)"
2014,CO,Colorado,Demographics,Employment,What is your employment status?,Unable to work,Overall,Overall,671,4.4,4,4.8,1816,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,8,BO1,CAT1,EMPLOY1,RESP032,"(38.843840757000464, -106.13361092099967)"
2014,CO,Colorado,Demographics,Employment,What is your employment status?,Employed,Overall,Overall,5565,51.6,50.5,52.7,1809,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,8,BO1,CAT1,EMPLOY1,RESP137,"(38.843840757000464, -106.13361092099967)"
2014,CO,Colorado,Demographics,Employment,What is your employment status?,Homemaker,Overall,Overall,906,7.1,6.5,7.6,1813,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,8,BO1,CAT1,EMPLOY1,RESP141,"(38.843840757000464, -106.13361092099967)"
2014,CO,Colorado,Demographics,Employment,What is your employment status?,Self-employed,Overall,Overall,1577,10.9,10.3,11.6,1810,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,8,BO1,CAT1,EMPLOY1,RESP172,"(38.843840757000464, -106.13361092099967)"
2014,CT,Connecticut,Demographics,Employment,What is your employment status?,No work< yr,Overall,Overall,206,3.8,3.1,4.5,1801,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,9,BO1,CAT1,EMPLOY1,RESP027,"(41.56266102000046, -72.64984095199964)"
2014,CT,Connecticut,Demographics,Employment,What is your employment status?,No work >yr,Overall,Overall,244,3.4,2.8,4,1800,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,9,BO1,CAT1,EMPLOY1,RESP028,"(41.56266102000046, -72.64984095199964)"
