,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
0,bambous virieux,-20.34,84.2,62,75,12.75
1,dikson,73.51,-0.97,100,12,21.3
2,tecoanapa,16.52,63.16,100,0,2.62
4,avarua,-21.21,75.2,88,90,2.24
5,hilo,19.73,62.6,82,1,6.93
6,hofn,64.25,30.8,100,8,33.38
8,ilulissat,69.22,26.6,79,88,25.28
9,veraval,20.9,73.46,83,0,12.12
11,provideniya,64.38,28.37,100,80,12.68
12,harbin,45.75,6.8,42,0,6.71
13,esperance,-33.87,68.56,62,0,9.89
14,priargunsk,50.37,4.16,50,0,4.63
15,yulara,-25.24,93.2,20,12,13.87
16,soligalich,59.08,19.55,92,92,6.2
17,puerto ayora,-0.74,70.54,100,0,9.22
18,georgetown,6.8,73.4,100,40,2.24
19,shingu,33.73,53.6,50,75,6.93
20,yumen,40.28,20.99,50,48,13.58
21,port alfred,-33.59,69.82,81,12,21.18
22,jamestown,42.1,35.6,63,90,16.11
23,cotonou,6.37,80.6,88,20,3.36
24,chokurdakh,70.63,2.36,78,76,3.18
26,hays,38.88,17.6,72,1,11.41
27,clyde river,70.47,5,84,90,27.51
29,qostanay,53.17,23,85,0,17.9
30,mombetsu,44.35,28.4,46,40,5.82
31,mokhotlong,-29.29,47.9,94,24,2.73
32,punta arenas,-53.15,39.2,93,90,16.11
33,bredasdorp,-34.53,73.4,64,0,18.34
34,nemuro,43.32,24.8,49,20,3.36
35,kerman,30.28,60.8,4,0,4.7
36,faanui,-16.48,82.06,99,68,9.44
37,east london,-33.02,71.6,73,20,20.8
38,thompson,55.74,6.8,84,90,4.7
39,busselton,-33.65,73.28,82,0,9.1
40,yangjiang,21.85,69.86,95,0,12.01
42,upernavik,72.79,21.94,100,76,10.89
43,khatanga,71.97,-22.57,34,0,10.89
44,ushuaia,-54.8,41,100,75,3.96
45,omboue,-1.57,79.94,100,48,1.39
46,kavieng,-2.57,83.32,100,56,8.21
47,albany,42.65,35.6,51,90,6.93
